iter	Passed	Remaining
402	12759	18901
403	12791	18870
404	12838	18860
405	12873	18834
406	12906	18805
407	12934	18767
408	12961	18729
409	12986	18688
410	13015	18652
411	13045	18618
412	13073	18581
413	13139	18598
414	13165	18558
415	13190	18517
416	13218	18481
417	13252	18452
418	13284	18420
419	13326	18403
420	13354	18366
421	13379	18325
422	13412	18295
423	13444	18263
424	13466	18219
425	13496	18184
426	13537	18166
427	13568	18133
428	13596	18096
429	13619	18053
430	13647	18017
431	13669	17972
432	13695	17933
433	13734	17911
434	13767	17882
435	13789	17838
436	13812	17795
437	13840	17759
438	13863	17716
439	13887	17674
440	13920	17645
441	13954	17617
442	13978	17576
443	14002	17534
444	14027	17495
445	14057	17461
446	14081	17420
447	14107	17382
448	14209	17437
449	14248	17414
450	14273	17374
451	14301	17338
452	14326	17298
453	14355	17264
454	14378	17222
455	14404	17183
456	14446	17165
457	14478	17133
458	14502	17093
459	14522	17048
460	14553	17016
461	14579	16977
462	14604	16938
463	14627	16897
464	14669	16877
465	14699	16844
466	14726	16807
467	14758	16776
468	14786	16741
469	14809	16700
470	14841	16668
471	14872	16637
472	14908	16611
473	14939	16578
474	14969	16545
475	14993	16505
476	15017	16465
477	15042	16426
478	15069	16391
479	15119	16379
480	15146	16343
481	15174	16308
482	15200	16270
483	15221	16228
484	15246	16190
485	15275	16155
486	15299	16116
487	15329	16083
488	15372	16064
489	15397	16025
490	15421	15986
491	15445	15948
492	15471	15911
493	15497	15874
494	15528	15842
495	15570	15821
496	15602	15791
497	15627	15753
498	15656	15719
499	15682	15682
500	15706	15644
501	15732	15607
502	15760	15572
503	15787	15536
504	15894	15580
505	15916	15538
506	15943	15503
507	15974	15471
508	16008	15442
509	16044	15414
510	16067	15375
511	16091	15337
512	16115	15298
513	16144	15264
514	16169	15227
515	16192	15188
516	16233	15165
517	16268	15137
518	16292	15100
519	16319	15063
520	16353	15035
521	16379	14998
522	16404	14961
523	16427	14922
524	16469	14900
525	16497	14866
526	16525	14832
527	16556	14800
528	16581	14763
529	16610	14730
530	16637	14695
531	16661	14657
532	16695	14628
533	16726	14596
534	16757	14564
535	16780	14526
536	16803	14487
537	16828	14451
538	16860	14420
539	16881	14380
540	16906	14344
541	16950	14323
542	16976	14287
543	16997	14248
544	17024	14213
545	17046	14174
546	17074	14140
547	17101	14105
548	17205	14134
549	17244	14109
550	17283	14083
551	17318	14055
552	17343	14018
553	17366	13981
554	17398	13950
555	17436	13924
556	17467	13892
557	17509	13869
558	17534	13833
559	17555	13793
560	17578	13756
561	17607	13722
562	17632	13686
563	17667	13657
564	17693	13622
565	17723	13590
566	17750	13555
567	17774	13518
568	17803	13485
569	17830	13451
570	17852	13412
571	17888	13385
572	17922	13355
573	17951	13322
574	17973	13285
575	18003	13252
576	18033	13220
577	18056	13183
578	18080	13146
579	18118	13120
580	18150	13089
581	18172	13051
582	18197	13015
583	18225	12982
584	18249	12946
585	18275	12911
586	18301	12876
587	18333	12845
588	18449	12874
589	18476	12839
590	18501	12804
591	18536	12774
592	18569	12745
593	18601	12714
594	18631	12681
595	18654	12644
596	18683	12611
597	18710	12577
598	18736	12542
599	18768	12512
600	18808	12486
601	18835	12452
602	18859	12416
603	18882	12379
604	18910	12346
605	18936	12312
606	18959	12275
607	18993	12245
608	19028	12216
609	19052	12181
610	19077	12145
611	19100	12109
612	19130	12077
613	19156	12042
614	19184	12009
615	19227	11985
616	19257	11953
617	19282	11919
618	19310	11885
619	19339	11852
620	19362	11816
621	19389	11783
622	19411	11746
623	19445	11717
624	19478	11686
625	19504	11652
626	19529	11618
627	19559	11585
628	19586	11552
629	19608	11516
630	19636	11483
631	19758	11504
632	19801	11480
633	19832	11449
634	19868	11420
635	19894	11386
636	19918	11350
637	19944	11316
638	19985	11290
639	20023	11263
640	20048	11228
641	20073	11193
642	20098	11158
643	20121	11122
644	20146	11088
645	20179	11057
646	20218	11031
647	20246	10998
648	20277	10966
649	20301	10931
650	20326	10896
651	20346	10860
652	20371	10825
653	20395	10790
654	20419	10755
655	20465	10731
656	20492	10698
657	20514	10662
658	20537	10626
659	20558	10590
660	20586	10557
661	20609	10522
662	20630	10486
663	20653	10451
664	20682	10419
665	20725	10393
666	20750	10359
667	20776	10326
668	20797	10289
669	20823	10256
670	20843	10219
671	20864	10183
672	20894	10152
673	20951	10133
674	21025	10123
675	21047	10087
676	21073	10054
677	21096	10019
678	21130	9989
679	21162	9958
680	21192	9927
681	21226	9897
682	21259	9867
683	21290	9835
684	21327	9807
685	21360	9777
686	21390	9745
687	21417	9712
688	21445	9680
689	21478	9649
690	21508	9617
691	21534	9584
692	21569	9555
693	21599	9523
694	21622	9488
695	21644	9453
696	21673	9421
697	21699	9388
698	21722	9354
699	21746	9319
700	21783	9291
701	21808	9257
702	21830	9223
703	21855	9189
