iter	Logloss
147	0.4245271001
148	0.4244702469
149	0.4244564556
150	0.4244171094
151	0.4243900471
152	0.4243630733
153	0.4243017472
154	0.4242596937
155	0.42422626
156	0.4241976894
157	0.4241608232
158	0.4241375188
159	0.4240735234
160	0.4240198014
161	0.4239690652
162	0.4239216798
163	0.4238812894
164	0.4238356395
165	0.4237883194
166	0.423729862
167	0.4236909175
168	0.4236363918
169	0.4235746107
170	0.4235277268
171	0.4234973633
172	0.4234490802
173	0.4234050625
174	0.4233349924
175	0.4232575033
176	0.4231926019
177	0.4231510367
178	0.423102582
179	0.4230664681
180	0.4230083495
181	0.422984024
182	0.4229152258
183	0.4228698149
184	0.4228562899
185	0.4227946223
186	0.4227279278
187	0.4226980457
188	0.4226426721
189	0.4225808801
190	0.4225416288
191	0.4224686834
192	0.4224079061
193	0.4223453452
194	0.4222828537
195	0.4222357472
196	0.4222112277
197	0.4221663836
198	0.4220927957
199	0.4220408193
200	0.4219732658
201	0.421947059
202	0.4219113402
203	0.421881457
204	0.4218466221
205	0.4217992916
206	0.4217369438
207	0.4217058514
208	0.4216800368
209	0.4216542256
210	0.4216124222
211	0.4215698843
212	0.4215128531
213	0.4214384325
214	0.4213941156
215	0.4213479175
216	0.4212919932
217	0.4212218418
218	0.4211495936
219	0.4210976953
220	0.4210776098
221	0.4210370223
222	0.4210024458
223	0.4209708819
224	0.4209146479
225	0.42087771
226	0.4208202669
227	0.4207434951
228	0.420676731
229	0.4206204001
230	0.4205749031
231	0.4205512673
232	0.4205397032
233	0.4205185892
234	0.4204796845
235	0.4204149489
236	0.420364779
237	0.4203014439
238	0.4202369349
239	0.4202069207
240	0.4201369514
241	0.420065755
242	0.4200233727
243	0.4199537881
244	0.4199195081
245	0.4198973299
246	0.4198622927
247	0.4198345782
248	0.4197842557
249	0.4197233445
250	0.4196771268
251	0.4196373938
252	0.4196049383
253	0.4195376668
254	0.4194763554
255	0.4194179253
256	0.4193592622
257	0.4193109566
258	0.4192750901
259	0.4192556095
260	0.4192210144
261	0.4191944216
262	0.4191379064
263	0.4190823557
264	0.4190242179
265	0.4189598776
266	0.4188876927
267	0.4188391341
268	0.4187920159
269	0.4187288249
270	0.4186840198
271	0.4186679359
272	0.4186336476
273	0.4186205381
274	0.418583409
275	0.4185036119
276	0.4184471809
277	0.4183807714
278	0.4183519242
279	0.4182811968
280	0.4182423062
281	0.4181984158
282	0.4181790601
283	0.418132292
284	0.418097259
285	0.418074016
286	0.4180249657
287	0.4179994506
288	0.4179564985
289	0.4179007141
290	0.4178814633
291	0.417829406
292	0.4178119111
293	0.4177571548
294	0.4177371366
295	0.4176996299
296	0.4176822789
297	0.4176674619
298	0.417606527
299	0.417581343
300	0.4175575524
301	0.4175055697
302	0.4174531829
303	0.4173713459
304	0.4173436134
305	0.4172986393
306	0.4172426523
307	0.4171956083
308	0.4171404108
309	0.4170869787
310	0.4170395242
311	0.4169815111
312	0.4169670589
313	0.416937623
314	0.4168903933
315	0.4168371432
316	0.4168017799
317	0.4167557129
318	0.4167099659
319	0.4166879805
320	0.4166564454
321	0.4166247855
322	0.4165852565
323	0.4165694897
324	0.4165526085
325	0.4165184841
326	0.4164577333
327	0.4164050969
328	0.4163793965
329	0.4163177304
330	0.4162652374
331	0.4162253793
332	0.4161641531
333	0.4161113797
334	0.4160849024
335	0.4160551575
336	0.4160072804
337	0.4159772355
338	0.4159373439
339	0.4158778095
340	0.4158406904
341	0.4158088562
342	0.4157759016
343	0.4157589154
344	0.4157210405
345	0.4156753227
346	0.4156068253
347	0.4155665846
348	0.4155433027
349	0.4155026723
350	0.415464014
351	0.4154250367
352	0.4153837783
353	0.4153454824
354	0.4152918678
355	0.4152428603
356	0.4152186769
357	0.4151980406
358	0.4151333892
359	0.415070006
360	0.4150287153
361	0.414985301
362	0.4149416382
363	0.4148932252
364	0.4148381641
365	0.4147996801
366	0.4147617951
367	0.414714581
368	0.414657456
369	0.4146230793
370	0.4145794907
371	0.4145526392
372	0.4145417118
373	0.4145201593
374	0.414464206
375	0.4144075543
376	0.414403476
377	0.414372475
378	0.4143149051
379	0.4143063643
380	0.414268444
381	0.4142400957
382	0.4142007367
383	0.4141554346
384	0.4141146399
385	0.4141007542
386	0.4140352301
387	0.4139812422
388	0.4139213104
389	0.4138671269
390	0.4138204234
391	0.4137794076
392	0.4137505532
393	0.4137050575
394	0.4136781974
395	0.4136248356
396	0.4135642431
397	0.4135093213
398	0.4134454972
399	0.4133951753
400	0.4133512309
401	0.4132846895
402	0.4132396151
403	0.413186211
404	0.4131184271
405	0.4131002126
406	0.4130546103
407	0.4130254656
408	0.4129811988
409	0.4129363347
410	0.412894214
411	0.4128611698
412	0.412828811
413	0.4128041865
414	0.4127678647
415	0.4127160776
416	0.4126681854
417	0.4126094456
418	0.4125561067
419	0.4125169984
420	0.4124665263
421	0.4124466609
422	0.4123908316
423	0.4123435621
424	0.4123042739
425	0.4122754722
426	0.4122363164
427	0.4121877701
428	0.4121273853
429	0.4121146514
430	0.4120707184
431	0.4120573698
432	0.4120192386
433	0.4119796463
434	0.4119354519
435	0.4119289741
436	0.4118863942
437	0.4118514533
438	0.4118316275
439	0.4117947877
440	0.4117609999
441	0.4117131507
442	0.4116742367
443	0.4116525281
444	0.4116271803
445	0.4115754087
446	0.4115227383
447	0.4114867604
448	0.4114431727
449	0.411395833
450	0.4113622952
451	0.4113024694
452	0.4112819229
453	0.4112494447
454	0.4112182944
455	0.411174832
456	0.4111527125
457	0.4111233518
458	0.4111195603
459	0.411115664
460	0.4110875065
461	0.4110261877
462	0.4109962097
463	0.4109816317
464	0.4109292042
465	0.4108930742
466	0.4108604686
467	0.4108143143
468	0.4107695996
469	0.4107426427
470	0.4106735478
471	0.4106277985
472	0.4105954492
473	0.4105404739
474	0.4105113872
475	0.4104567554
476	0.4104414687
477	0.4104035135
478	0.4103793677
479	0.4103620358
480	0.4103291843
481	0.4102782077
482	0.4102272999
483	0.4102234817
484	0.4102017171
485	0.4101248835
486	0.4100845401
487	0.4100567694
488	0.4100161553
489	0.4099863588
490	0.4099481546
491	0.4099305547
492	0.409889296
493	0.4098492309
494	0.4098213812
495	0.409770917
496	0.4097408518
497	0.4097009397
498	0.4096885016
499	0.4096326093
500	0.4095822567
501	0.4095363365
502	0.4094968103
503	0.4094710971
504	0.4094281912
505	0.4094030105
506	0.4093570715
507	0.4093236374
508	0.409245605
509	0.4092232252
510	0.4092026792
511	0.4091804918
512	0.4091194015
513	0.4090633932
514	0.4090295431
515	0.409007654
516	0.4089543052
517	0.4089271155
518	0.4089032495
519	0.4088708983
520	0.4088003753
521	0.408762427
522	0.4087313765
523	0.4087061851
524	0.4086435284
525	0.4086214268
526	0.4085753453
527	0.4085108568
528	0.4084750535
529	0.4084363792
530	0.4084069839
531	0.4083936642
532	0.4083453161
533	0.4083095613
534	0.4082505668
535	0.4082024601
536	0.4081854458
537	0.4081426219
538	0.4080937102
539	0.4080624266
540	0.4080444999
541	0.4079808401
542	0.4079509364
543	0.4079325883
544	0.407898722
545	0.4078877431
546	0.4078702384
547	0.4078157013
548	0.4077779802
549	0.4077113691
550	0.4076946289
551	0.4076792148
552	0.4076265691
553	0.4076027801
554	0.4075408098
555	0.407504522
556	0.4074526689
557	0.4074171033
558	0.4073788997
559	0.4073631326
560	0.4073242802
561	0.4072776323
562	0.4072550128
563	0.407245925
564	0.4072360492
565	0.4071963673
566	0.4071553398
567	0.4071314914
568	0.4070848332
569	0.4070208942
570	0.4070078499
571	0.4069433388
572	0.4069268043
573	0.4068915242
574	0.4068772557
575	0.4068141367
576	0.4067813349
577	0.4067288904
578	0.4066971641
579	0.406667905
580	0.4066287693
581	0.4065897506
582	0.4065744535
583	0.4065414341
584	0.4064945819
585	0.4064617867
586	0.40643231
587	0.4064056604
588	0.4063522045
589	0.4063138633
590	0.4062773923
591	0.40622672
592	0.4062000612
593	0.4061684422
594	0.4061373296
595	0.4061030601
596	0.4060404522
597	0.4060009257
598	0.4059691453
599	0.405936287
600	0.4059152211
601	0.4058718147
602	0.4058359132
603	0.4058269588
604	0.4057964271
605	0.4057430819
606	0.4057178338
607	0.4057000349
608	0.405655824
609	0.4056080691
610	0.4055836349
611	0.4055213252
612	0.4054834207
613	0.4054303807
614	0.4053759811
615	0.4053193238
616	0.405288163
617	0.4052449492
618	0.405190039
619	0.4051731398
620	0.4051213485
621	0.4050901984
622	0.4050430986
623	0.4050160082
624	0.4049917002
625	0.404942214
626	0.4049259193
627	0.4048910815
628	0.4048379097
629	0.4048336773
630	0.4048041289
631	0.4047564274
632	0.4047203144
633	0.4047064186
634	0.4046726263
635	0.4046230126
636	0.4045883091
637	0.404547312
638	0.4044984033
639	0.4044729148
640	0.4044371708
641	0.4044280174
642	0.4043951396
643	0.4043586329
644	0.4043123487
645	0.4042596018
646	0.4042287216
647	0.4041854319
648	0.4041445782
649	0.4040899929
650	0.4040307737
651	0.4040081545
652	0.4039948247
653	0.4039728405
654	0.4039068257
655	0.4038534794
656	0.4038178797
657	0.4037792266
658	0.4037433647
659	0.4037356103
660	0.4036839733
661	0.4036424006
662	0.4036212208
663	0.4035948787
664	0.4035848125
665	0.4035482346
666	0.4034974347
667	0.4034690596
668	0.4034557393
669	0.4034222388
670	0.4033999939
671	0.403384533
672	0.4033480079
673	0.403297984
674	0.4032520179
675	0.4032371627
676	0.4032119832
677	0.4031915711
678	0.4031793834
679	0.4031301983
680	0.403090552
681	0.4030579652
682	0.4030173264
683	0.4029828938
684	0.4029299796
685	0.4028842222
686	0.4028604912
687	0.4028099943
688	0.4027472355
689	0.4027042867
690	0.4026252268
691	0.4025950212
692	0.4025755207
693	0.4025389852
694	0.4025099363
695	0.4024853307
696	0.402465417
697	0.4024452249
698	0.4024157253
699	0.4023950447
700	0.4023886175
701	0.4023334479
702	0.4023135543
703	0.4022670961
704	0.4022405143
705	0.4021768083
706	0.4021567886
707	0.4021274533
708	0.4020992834
709	0.4020576959
710	0.4020243486
711	0.4019897522
712	0.4019868925
713	0.4019582989
714	0.4019187429
715	0.4018862483
716	0.4018384193
717	0.401814965
718	0.4017862864
719	0.4017524667
720	0.4017360952
721	0.4016915948
722	0.4016625676
723	0.4016113709
724	0.4015628236
725	0.4015303492
726	0.4015058684
727	0.4014437381
728	0.4014177694
729	0.4013764381
730	0.4013389868
731	0.4013022801
732	0.4012611274
733	0.4012390174
734	0.4012051522
735	0.4011792789
736	0.4011622564
737	0.4011435244
738	0.4011130083
739	0.4010647655
740	0.4010365802
741	0.4009849476
742	0.4009286058
743	0.4008643574
744	0.4008212352
745	0.4007759481
746	0.4007320156
747	0.4006896271
748	0.4006791763
749	0.4006439091
750	0.4005887941
751	0.400564565
752	0.4005236934
753	0.4004680615
754	0.4004370551
755	0.4004322856
756	0.4004055204
757	0.4003739386
758	0.400367192
759	0.4003514248
760	0.4003196505
761	0.4002836629
762	0.4002292095
763	0.4002020424
764	0.4001638234
765	0.4001134222
766	0.4000758822
767	0.4000362687
768	0.3999904914
769	0.3999670085
770	0.3999293588
771	0.3999029591
772	0.3998604471
773	0.3998422327
774	0.3998070611
775	0.3997644796
776	0.3997330317
777	0.3997045113
778	0.3996947228
779	0.3996526627
780	0.3996388919
781	0.39961116
782	0.3995958781
783	0.3995803777
784	0.3995381034
785	0.3995133727
786	0.3994784006
787	0.3994487766
788	0.3994218124
789	0.399403774
790	0.399386922
791	0.3993576943
792	0.3993501996
793	0.3993208216
794	0.3992731361
795	0.3992175353
796	0.3991828888
797	0.3991780815
798	0.3991597621
799	0.3991239654
800	0.3990778616
801	0.3990315778
802	0.3989961478
803	0.3989602566
804	0.3989281592
805	0.3989043702
806	0.3988869234
807	0.398860862
808	0.3988192672
809	0.3987656012
810	0.3987257487
811	0.3986662498
812	0.3986541494
813	0.3986315717
814	0.3985849611
815	0.398547026
816	0.398535818
817	0.398490495
818	0.3984295099
819	0.3984091671
820	0.3983815097
821	0.3983456813
822	0.3983093929
823	0.3982946614
824	0.3982544131
825	0.3981972752
826	0.3981822555
827	0.3981338404
828	0.3981060297
829	0.3980707027
830	0.398040891
831	0.3980167468
832	0.3979806556
833	0.3979577293
834	0.3979242376
835	0.3978907625
836	0.3978306614
837	0.3977869873
838	0.3977567698
839	0.3977227162
840	0.3976812308
841	0.3976366895
842	0.3976210095
843	0.39759078
844	0.3975409823
845	0.3975092633
846	0.3974984313
847	0.397469526
848	0.3974294401
849	0.397412761
850	0.3973888172
851	0.3973554234
852	0.3973428903
853	0.3973338289
854	0.397312822
855	0.3973040887
856	0.3972646874
857	0.3972248977
858	0.3971787297
859	0.3971650256
860	0.3971335267
861	0.3971100906
862	0.3970519371
863	0.3970360651
864	0.3970118722
865	0.3969706491
866	0.3969592881
867	0.3969261317
868	0.3969159978
869	0.3968954993
870	0.396845314
871	0.3968314172
872	0.3967814945
873	0.3967521913
874	0.3967165683
875	0.3966666166
876	0.3966523178
877	0.3966139624
878	0.3966007292
879	0.3965541866
880	0.3965272032
881	0.3964961074
882	0.3964477989
883	0.396429997
884	0.3963909963
885	0.3963491773
886	0.3963411165
887	0.3962944464
888	0.3962603545
889	0.3962057389
890	0.3961655489
891	0.3961366873
892	0.3961095625
893	0.3960801393
894	0.3960417418
895	0.3960151311
896	0.3959782431
897	0.3959608442
898	0.3959045742
899	0.3958643271
900	0.3958341035
901	0.3958136667
902	0.3957768498
903	0.3957336272
904	0.3956910603
905	0.3956504463
906	0.3956185271
907	0.3955702578
908	0.39554782
909	0.3955112505
910	0.3955048303
911	0.3954602033
912	0.3954142742
913	0.3953656526
914	0.3953526204
915	0.3953045895
916	0.3952962688
917	0.3952456378
918	0.3952163305
919	0.3951942206
920	0.3951750665
921	0.3951257492
922	0.3950876026
923	0.3950858754
924	0.3950417111
925	0.3950062427
926	0.394972522
927	0.3949314701
928	0.3948987835
929	0.3948512515
930	0.3948251888
931	0.3947930321
932	0.3947828612
933	0.3947607911
934	0.394726714
935	0.3946843958
936	0.3946455878
937	0.3946245609
938	0.3946207825
939	0.394589739
940	0.3945571098
941	0.3945171495
942	0.3944844401
943	0.3944546424
944	0.3944319883
945	0.3943947251
946	0.3943761657
947	0.3943675434
948	0.3943339359
949	0.394281622
950	0.3942357139
951	0.3941955188
952	0.3941631725
953	0.3941119553
954	0.3940873587
955	0.3940571976
956	0.3940300397
957	0.3939868487
958	0.3939666313
959	0.3939513345
960	0.3939015309
961	0.3938630118
962	0.3938329941
963	0.3938003666
964	0.3937647193
965	0.3937063726
966	0.3936774026
967	0.3936304554
968	0.3936046221
969	0.3935807364
970	0.3935622146
971	0.3935255135
972	0.393508442
973	0.3934720737
974	0.393439636
975	0.3934023527
976	0.3933675667
977	0.39330375
978	0.393290395
979	0.3932451183
980	0.3932025441
981	0.3931838989
982	0.393173074
983	0.3931210771
984	0.3930770166
985	0.3930363762
986	0.3929911144
987	0.3929620768
988	0.3929334706
989	0.3929070508
990	0.3928741229
991	0.392841696
992	0.3928247568
993	0.3927841871
994	0.3927297603
995	0.3927032451
996	0.3926702293
997	0.3926267933
998	0.3925944335
999	0.3925580142
